batch,pair,source_name,target_name,cost_9,angle_9,cost_16,angle_16,cost_32,angle_32,cost_64,angle_64,cost_128,angle_128,cost_196,angle_196,cost_256,angle_256,cost_384,angle_384,cost_512,angle_512,angle_global,cost_global
048_03,1,048 HE R1_1.vsi - 20x_03.tif,048_ST_V10A20_009_3_03.tif,-0.14331912994384766,98,-0.12255628407001495,98,-0.16166603565216064,98,-0.26657119393348694,98,-0.45918717980384827,98,-0.6135241985321045,98,-0.7225803732872009,74,-0.8536085486412048,98,-0.8697855472564697,98,98.0,-0.8446861505508423
048_03,2,048_ST_V10A20_009_3_03.tif,048_MP_F3.vsi - old_04 - 20x_BF_03.tif,-0.10797755420207977,75,-0.06839939951896667,150,-0.052142828702926636,151,-0.0898536890745163,147,-0.2416953146457672,71,-0.41895854473114014,71,-0.5332072377204895,71,-0.6695449948310852,72,-0.7298802137374878,71,71.0,-0.707726001739502
048_03,3,048_MP_F3.vsi - old_04 - 20x_BF_03.tif,048 M+ V6 HES.vsi - 20x_BF_03.tif,-0.10916946828365326,280,-0.07127157598733902,279,-0.057383254170417786,280,-0.09797411412000656,258,-0.27484047412872314,258,-0.43766602873802185,116,-0.5504071116447449,258,-0.7031281590461731,1,-0.7519068121910095,8,8.0,-0.7337865829467773
048_03,4,048 M+ V6 HES.vsi - 20x_BF_03.tif,048 M- V7 HES.vsi - 20x_BF_03.tif,-0.12350048124790192,190,-0.10243906825780869,190,-0.11948766559362411,190,-0.17485396564006805,190,-0.29208430647850037,190,-0.38759905099868774,192,-0.4305373430252075,190,-0.44461721181869507,7,-0.5259168148040771,7,7.0,-0.47185683250427246
048_03,5,048 M- V7 HES.vsi - 20x_BF_03.tif,048 MM V8_01.vsi - 20x_BF_03.tif,-0.09514912962913513,96,-0.06926307082176208,130,-0.053502582013607025,122,-0.04435855150222778,123,-0.0842248871922493,322,-0.1472538262605667,156,-0.20086437463760376,160,-0.23386475443840027,258,-0.31328949332237244,259,259.0,-0.22395451366901398
048_03,6,048 MM V8_01.vsi - 20x_BF_03.tif,048_LPS_F9_095142_202205.vsi - 40x_BF_03.tif,-0.10163722932338715,20,-0.06559959053993225,20,-0.0476343110203743,6,-0.07413959503173828,12,-0.19578324258327484,193,-0.33200427889823914,75,-0.42061737179756165,344,-0.5094633102416992,60,-0.5862014889717102,240,333.0,-0.5843416452407837
048_03,7,048_LPS_F9_095142_202205.vsi - 40x_BF_03.tif,048_LTA_F10_100505_202205.vsi - 40x_BF_03.tif,-0.10629738867282867,58,-0.07350998371839523,63,-0.0751952975988388,62,-0.13473999500274658,62,-0.264943391084671,61,-0.36736810207366943,94,-0.4452410042285919,308,-0.5421879887580872,58,-0.6079785227775574,327,327.0,-0.6091679334640503
048_03,8,048_LTA_F10_100505_202205.vsi - 40x_BF_03.tif,048 HE R11_1.vsi - 20x_03.tif,-0.10800503194332123,65,-0.07057828456163406,66,-0.057558637112379074,283,-0.09783798456192017,290,-0.244657501578331,69,-0.39224734902381897,70,-0.4934311807155609,69,-0.6144798398017883,70,-0.6890919208526611,70,70.0,-0.6791322827339172
048_03,9,048 HE R11_1.vsi - 20x_03.tif,048 HE R21_1.vsi - 20x_03.tif,-0.13419240713119507,343,-0.10774843394756317,338,-0.142031729221344,343,-0.2606680393218994,176,-0.5078475475311279,342,-0.691987156867981,343,-0.794881284236908,343,-0.8744390606880188,343,-0.9079569578170776,343,343.0,-0.8935971260070801
001_02,1,001 HE R1_2.vsi - 20x_02.tif,001_ST_V19S23_106_2_02.tif,-0.151871919631958,354,-0.12417905032634735,355,-0.1459595263004303,355,-0.23123414814472198,354,-0.38748592138290405,355,-0.5101889967918396,355,-0.6073917746543884,355,-0.6931975483894348,355,-0.7709813714027405,355,355.0,-0.7202796936035156
